,learning_rate,gamma,max_depth,max_delta_step,accuracy
0,0.1,0.0,4.0,0.0,0.7284172661870504
1,0.1,0.0,4.0,2.0,0.7068345323741008
2,0.1,0.0,4.0,4.0,0.7356115107913669
3,0.1,0.0,4.0,6.0,0.7320143884892086
4,0.1,0.0,6.0,0.0,0.7176258992805755
5,0.1,0.0,6.0,2.0,0.7194244604316546
6,0.1,0.0,6.0,4.0,0.7176258992805755
7,0.1,0.0,6.0,6.0,0.7158273381294964
8,0.1,0.0,10.0,0.0,0.7068345323741008
9,0.1,0.0,10.0,2.0,0.7086330935251799
10,0.1,0.0,10.0,4.0,0.7158273381294964
11,0.1,0.0,10.0,6.0,0.7140287769784173
12,0.1,0.0,20.0,0.0,0.7140287769784173
13,0.1,0.0,20.0,2.0,0.7158273381294964
14,0.1,0.0,20.0,4.0,0.7158273381294964
15,0.1,0.0,20.0,6.0,0.7212230215827338
16,0.1,0.5,4.0,0.0,0.7140287769784173
17,0.1,0.5,4.0,2.0,0.7212230215827338
18,0.1,0.5,4.0,4.0,0.7230215827338129
19,0.1,0.5,4.0,6.0,0.7248201438848921
20,0.1,0.5,6.0,0.0,0.710431654676259
21,0.1,0.5,6.0,2.0,0.7140287769784173
22,0.1,0.5,6.0,4.0,0.7014388489208633
23,0.1,0.5,6.0,6.0,0.710431654676259
24,0.1,0.5,10.0,0.0,0.7122302158273381
25,0.1,0.5,10.0,2.0,0.7068345323741008
26,0.1,0.5,10.0,4.0,0.7122302158273381
27,0.1,0.5,10.0,6.0,0.7086330935251799
28,0.1,0.5,20.0,0.0,0.7122302158273381
29,0.1,0.5,20.0,2.0,0.7014388489208633
30,0.1,0.5,20.0,4.0,0.7176258992805755
31,0.1,0.5,20.0,6.0,0.7122302158273381
32,0.1,1.0,4.0,0.0,0.7068345323741008
33,0.1,1.0,4.0,2.0,0.7158273381294964
34,0.1,1.0,4.0,4.0,0.7194244604316546
35,0.1,1.0,4.0,6.0,0.7140287769784173
36,0.1,1.0,6.0,0.0,0.7014388489208633
37,0.1,1.0,6.0,2.0,0.697841726618705
38,0.1,1.0,6.0,4.0,0.7050359712230215
39,0.1,1.0,6.0,6.0,0.7014388489208633
40,0.1,1.0,10.0,0.0,0.7068345323741008
41,0.1,1.0,10.0,2.0,0.7014388489208633
42,0.1,1.0,10.0,4.0,0.7122302158273381
43,0.1,1.0,10.0,6.0,0.7086330935251799
44,0.1,1.0,20.0,0.0,0.7140287769784173
45,0.1,1.0,20.0,2.0,0.7032374100719424
46,0.1,1.0,20.0,4.0,0.7194244604316546
47,0.1,1.0,20.0,6.0,0.710431654676259
48,0.1,5.0,4.0,0.0,0.6744604316546763
49,0.1,5.0,4.0,2.0,0.670863309352518
50,0.1,5.0,4.0,4.0,0.6906474820143885
51,0.1,5.0,4.0,6.0,0.6780575539568345
52,0.1,5.0,6.0,0.0,0.685251798561151
53,0.1,5.0,6.0,2.0,0.6870503597122302
54,0.1,5.0,6.0,4.0,0.6798561151079137
55,0.1,5.0,6.0,6.0,0.6780575539568345
56,0.1,5.0,10.0,0.0,0.685251798561151
57,0.1,5.0,10.0,2.0,0.6834532374100719
58,0.1,5.0,10.0,4.0,0.6996402877697842
59,0.1,5.0,10.0,6.0,0.6744604316546763
60,0.1,5.0,20.0,0.0,0.6834532374100719
61,0.1,5.0,20.0,2.0,0.6834532374100719
62,0.1,5.0,20.0,4.0,0.6942446043165468
63,0.1,5.0,20.0,6.0,0.6744604316546763
64,0.3,0.0,4.0,0.0,0.7212230215827338
65,0.3,0.0,4.0,2.0,0.7302158273381295
66,0.3,0.0,4.0,4.0,0.737410071942446
67,0.3,0.0,4.0,6.0,0.7266187050359713
68,0.3,0.0,6.0,0.0,0.7248201438848921
69,0.3,0.0,6.0,2.0,0.7356115107913669
70,0.3,0.0,6.0,4.0,0.7302158273381295
71,0.3,0.0,6.0,6.0,0.7284172661870504
72,0.3,0.0,10.0,0.0,0.7284172661870504
73,0.3,0.0,10.0,2.0,0.7356115107913669
74,0.3,0.0,10.0,4.0,0.7248201438848921
75,0.3,0.0,10.0,6.0,0.7284172661870504
76,0.3,0.0,20.0,0.0,0.7320143884892086
77,0.3,0.0,20.0,2.0,0.7338129496402878
78,0.3,0.0,20.0,4.0,0.7230215827338129
79,0.3,0.0,20.0,6.0,0.7392086330935251
80,0.3,0.5,4.0,0.0,0.6960431654676259
81,0.3,0.5,4.0,2.0,0.7176258992805755
82,0.3,0.5,4.0,4.0,0.7212230215827338
83,0.3,0.5,4.0,6.0,0.7050359712230215
84,0.3,0.5,6.0,0.0,0.6960431654676259
85,0.3,0.5,6.0,2.0,0.710431654676259
86,0.3,0.5,6.0,4.0,0.6906474820143885
